,AK,AP,AN,TK,TP,TN,OM,PH,sand,silt,clay
g__norank_f__Acetobacteraceae,0.44627,0.61148,0.27694,-0.4713,0.34192,0.41908,0.51187,0.27953,-0.36678,0.51248,-0.33173
g__Pseudonocardia,-0.49719,-0.58408,-0.15081,0.42499,-0.59726,-0.69755,-0.30257,-0.41299,0.4593,-0.52044,0.17233
g__Candidatus_Solibacter,0.25322,0.65451,0.24469,-0.50809,0.56873,0.7025,0.38227,0.44154,-0.43271,0.57884,-0.22904
g__norank_f__Micropepsaceae,0.31503,0.4841,0.38832,-0.24431,0.26497,0.49657,0.4524,0.60244,-0.0589,0.26437,-0.48544
g__Nocardioides,-0.5282,-0.54276,-0.17387,0.40778,-0.47349,-0.53536,-0.31989,-0.38098,0.47941,-0.5105,0.13428
g__Acidipila,0.32991,0.64081,0.43625,-0.4702,0.22137,0.34288,0.42244,0.30063,-0.25889,0.42552,-0.30397
g__norank_f__norank_o__norank_c__KD4-96,-0.49692,-0.48513,-0.17631,0.32717,-0.33205,-0.44374,-0.39117,-0.33708,0.35745,-0.40357,0.18992
g__norank_f__norank_o__norank_c__AD3,0.41463,0.12785,-0.32167,-0.11355,0.40285,0.33608,0.01647,-0.1425,-0.47019,0.35192,0.20138
g__Granulicella,0.30746,0.67836,0.41212,-0.51213,0.32438,0.4632,0.47428,0.32995,-0.29238,0.46969,-0.31194
g__Candidatus_Xiphinematobacter,0.35314,0.46511,0.32666,-0.32095,0.38284,0.48143,0.20593,0.4094,-0.28876,0.34413,-0.14955
g__Solirubrobacter,-0.45494,-0.59487,-0.14401,0.46354,-0.57969,-0.63943,-0.26482,-0.35613,0.54189,-0.58694,0.12565
g__Sphingomonas,-0.50185,-0.59449,-0.27941,0.4291,-0.27288,-0.46512,-0.40488,-0.24637,0.40769,-0.46036,0.08355
g__Acidibacter,0.48158,0.10226,-0.02043,0.0703,0.00384,0.13653,0.35272,0.15639,0.02842,0.01482,-0.25059
g__unclassified_f__Micromonosporaceae,-0.17769,-0.54598,0.00795,0.50637,-0.68274,-0.65534,-0.02304,-0.24061,0.66054,-0.64006,-0.07998
g__norank_f__norank_o__WD260,0.52567,0.47663,0.25089,-0.24414,0.20603,0.41442,0.46414,0.42395,-0.19575,0.30672,-0.35702
g__norank_f__Solirubrobacteraceae,0.4325,0.18914,-0.10723,-0.11455,0.11262,0.17366,0.25377,-0.13595,-0.2338,0.17465,0.04893
g__Paenibacillus,-0.28364,-0.66,-0.19578,0.48007,-0.60274,-0.77347,-0.26745,-0.42368,0.43432,-0.5155,0.13137
g__Mucilaginibacter,0.164,0.56516,0.34768,-0.41485,0.39781,0.54899,0.41833,0.50973,-0.16912,0.37888,-0.45404
g__unclassified_f__Comamonadaceae,-0.57777,0.28002,0.24489,-0.40121,0.03124,0.01864,0.00823,0.05262,-0.0821,0.2287,-0.02144
g__Haliangium,-0.21621,-0.26388,0.23272,0.23242,-0.55138,-0.45908,0.07957,0.01946,0.54799,-0.43633,-0.1512
g__norank_f__Gemmataceae,0.15332,0.44073,0.10474,-0.41951,0.4011,0.38482,-0.06309,0.24911,-0.50131,0.47188,0.17205
g__norank_f__norank_o__norank_c__TK10,-0.11389,-0.13101,-0.23197,0.11865,-0.21479,-0.16801,-0.20738,-0.36366,-0.0464,-0.09328,0.41309
g__Actinoallomurus,-0.09395,-0.64203,-0.16349,0.54783,-0.64273,-0.76803,-0.14284,-0.47046,0.44947,-0.57857,0.09527
g__Puia,0.12284,0.72882,0.44713,-0.53536,0.39194,0.57198,0.40532,0.58945,-0.28976,0.50048,-0.38947
g__Candidatus_Udaeobacter,-0.24042,0.3384,-0.03346,-0.43779,0.38334,0.30798,-0.09602,-0.20488,-0.40884,0.44656,0.19764
g__Bacillus,-0.17593,-0.6054,-0.38996,0.34585,-0.23565,-0.53906,-0.33484,-0.47869,0.18575,-0.26067,0.12466
g__norank_f__norank_o__norank_c__Acidimicrobiia,0.41783,0.60803,0.16239,-0.52467,0.51528,0.5388,0.37871,0.23592,-0.52747,0.59641,-0.12235
g__Actinoplanes,-0.22744,-0.38725,0.14989,0.35398,-0.54974,-0.5024,-0.01825,-0.03139,0.59605,-0.52003,-0.1501
g__Gemmatimonas,-0.46084,-0.58731,-0.26354,0.45026,-0.40005,-0.50411,-0.37846,-0.33945,0.5125,-0.5297,0.08934
g__Reyranella,-0.26533,-0.47999,-0.15494,0.44752,-0.30114,-0.27659,-0.09506,-0.1195,0.51524,-0.49705,-0.09896
g__Edaphobacter,0.13773,0.42928,0.46538,-0.26528,-0.00301,0.1398,0.45624,0.18117,-0.01126,0.17039,-0.34676
g__norank_f__LWQ8,0.08219,0.19007,0.41624,-0.03798,0.01864,0.18129,0.31183,0.48787,0.24588,-0.04448,-0.50495
g__norank_f__norank_o__norank_c__norank_p__WPS-2,0.51369,0.57155,0.16207,-0.39847,0.43869,0.58717,0.36969,0.23174,-0.44742,0.48663,-0.10844
g__Pajaroellobacter,0.5395,0.08554,-0.06391,-0.06002,0.22938,0.19685,0.2416,0.11541,-0.21022,0.2205,-0.10213
